ROIIndex,ROIName
1,BrainStem
2,Cerebellum
3,LeftBasalForebrain
4,LeftBasalGanglia
5,LeftBasalganglia-lentiform-nucleus
6,LeftCaudate
7,LeftCerebellum
8,LeftFrontalLobe-inferior-orbital
9,LeftFrontalLobe-lateral
10,LeftFrontalLobe-medial
11,LeftHippocampus
12,LeftInsula
13,LeftOccipitalLobe
14,LeftParietalLobe
15,LeftTemporalLobe
16,LeftThalamusProper
17,RightBasalForebrain
18,RightBasalGanglia
19,RightBasalGanglia-lentiform-nucleus
20,RightCaudate
21,RightCerebellum
22,RightFrontalLobe-inferior-orbital
23,RightFrontalLobe-lateral
24,RightFrontalLobe-medial
25,RightHippocampus
26,RightInsula
27,RightOccipitalLobe
28,RightParietalLobe
29,RightTemporalLobe
30,RightThalamusProper
31,Ventricle
